,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
Link_64,3.912589522573875,7.589868505936249,3.9125895158569137,5.055982151822004e-11,3.9125895210547355,4.930944523894057e-10,7.5898685099350605,3.9125895209577606,3.9125895154771717,7.589868509680238
Link_65,7.783458083597114e-08,7.844865094334274,3.360416170023095e-08,1.5957506195148754e-09,0.2889538647291798,2.62972115284926e-08,0.2889538645364644,3.967464465898176e-09,1.3490700189720357e-10,0.28895386388763034
Link_66,7.328036345878686,1.2841932452469627,5.21814140089856e-08,5.921950590151937e-11,5.2341278433701067e-08,5.135604895232289e-08,7.328036345081494,5.191408536458332e-08,5.034744603721145e-08,1.2841932442706376
Link_67,1.928705068576122,2.8940060437775617,1.552178278154094,0.5868773708095065,14.398770845710306,1.2332859384676966,14.398770847407986,1.9287050684295932,7.861563348875979e-11,2.894006045104656
Link_68,3.116439292526139e-08,7.613545789413292,2.914747950150942e-08,1.2334205971757761e-09,0.05763455768624498,1.7488339485437358e-09,0.05763455857519248,2.8183862786291055e-08,9.732775834725869e-11,2.9276016047893647e-08
Link_69,3.9125895626967693,7.844865093785447,3.9125895603156247,4.554035337546693e-10,4.167586106140942,7.153975794449069e-08,7.844865094179129,3.912589562461877,3.912589561565643,4.167586106339843
Link_70,4.609905336404277,7.4999999992982955,4.609905330104934,4.609905328568218,4.609905336093216,1.2841931394264585,7.49999999978349,4.609905335907753,9.747599954855839e-11,7.499999988635417
Link_71,6.651745728667649,2.108860027905733e-08,5.25199036603441e-09,1.7905208312427048e-10,2.0144480952860796e-08,4.417607614135442e-09,7.387185907408357,1.9835972421846043e-08,7.944715107471037e-10,7.387185905577555
Link_72,3.70223888526004,7.499999999076719,3.325712144623051,1.6332474258295964e-10,3.325712145236436,6.780441943524085e-10,7.499999999904741,2.360411242293934,2.3604112420417525,7.499999991143574
Link_73,4.609905334554813,6.10125940817432,4.609905329736571,4.609905329441449,4.609905333617508,1.2841931356578173,7.617762653667088,4.609905333334193,2.2033068536906773e-10,7.617762652426325
Link_74,4.609905331670921,7.636884226273035,4.609905329895534,4.609905328091875,4.609905330018317,3.644604378276106,7.63688422688834,4.609905328437605,1.0620674457216296e-10,7.636884222029964
Link_75,7.328036345287853,1.2841932418799287,3.2834608091489046e-09,8.836864700740777e-10,5.273156042676674e-08,3.888155182978067e-09,7.328036345875565,1.14146093774144e-08,2.5561091016508903e-09,5.287684118166056e-08
Link_76,3.3257121476065676,6.101259412651112,3.3257121467265303,6.42920424570987e-10,3.325712147074019,8.465848444194694e-11,7.617762653917151,2.3604112440624325,2.3604112428199713,7.6177626535423135
