,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
Link_32,15.522186297308894,19.23521195359972,18.91812421225813,0.6498169583845774,20.643625237197952,29.999999999382965,27.958387672651497,20.894105446601984,8.699516688205248,29.999999995787057
Link_33,7.81230750731946,10.96296876406975,5.846031104970176,5.8460311043354585,6.061866697266461,2.127395427957937,10.962968769600291,4.880730161200811,1.9926419268260016,5.846031107537495
Link_34,1.7426544785979041,14.629524860691898,7.2524378194374225e-09,6.5696024379998014e-09,1.742654479381578,2.8318788859851856e-09,14.629524860319393,1.7426544783050386,1.900771027790377e-10,9.057416896293676
Link_35,62.91360559931566,69.92448169129423,40.044913288008445,12.44271193202685,31.812969408909925,28.094333691027835,35.446271970565384,7.78027931937142,3.936246220964555,32.76013882375832
Link_36,14.726480153359535,14.72648015127061,5.05927515896685e-09,1.227351608632393e-09,7.363240063049848,14.726480189930879,14.72648018920948,7.36324006978848,7.007251464037204e-10,7.363240099437492
Link_37,37.29863585502537,38.58282904616197,37.298635805420496,2.2603559704718412,76.41640873281963,6.970316533547528,77.70060191972259,4.620767172459048,6.970316526001784,37.29863585847312
Link_38,36.815994531234466,41.96040256394521,34.522960321271924,4.609905328318533,72.55619380359494,8.453951595290821,77.70060191735931,6.902939535705094,4.8093472136874835,34.60142598566796
Link_39,7.5850227547129645,11.896194933490989,7.585022708349985,2.4597978636630304,10.962596371231323,2.360411210180207,15.27376845585262,4.820209064048942,2.3604111949799034,12.826570194954812
Link_40,6.7833560254784135,7.314762464507597,6.783356010036017,4.268854107499426e-09,6.783356025823959,6.673950030335704,14.629524858631187,6.78335601239179,6.783355990809405,14.629524857719495
Link_41,2.3212913159230825e-08,15.382578356443904,1.5252559818753637e-08,2.740276674689941e-09,7.691289165357205,6.692025908572263e-09,15.382578352363701,1.6888371912130815e-08,3.39466030204727e-09,6.10058429456634
Link_42,11.03788455144759,7.387185922487335,1.6631280002910807,1.663127997442244,3.4057824853058807,1.7725339631628463,14.774371814217627,3.405782484618388,2.3168028881601128e-10,10.792968376726819
Link_43,23.058883704036536,32.73957279084017,10.724448870010317,2.042478531306482e-09,18.2420261095885,7.141050396990742,40.53600464958131,9.398985571917507,9.080093291838567,18.242026113211054
Link_44,2.0396547841656147,8.067815954235389,1.6631280224913585,1.663127997541868,9.354417182813945,1.6631280158168307,15.382578350622339,1.663128021869163,3.1394139461650745e-09,7.691289192051446
Link_45,13.47370509443881,43.694259448910586,4.486025647798714,2.8472333424420633,4.486025651390004,0.5868773717360536,43.69425944252242,2.847233394408624,5.152008787395926e-10,23.71820035085315
Link_46,14.696425226408637,17.29277688987509,6.650937059558734,5.09875873942268,27.543017743845564,7.693546936881982,28.79754169426875,16.038252939372615,1.5521783207150974,15.950949172729155
Link_47,12.876045108884442,11.077443640218053,8.827949522872075,6.578455352887125,8.827949560149719,6.578455353964185,14.14718926391306,8.827949530073575,1.3754006598284292,8.82794953092032
